HMMER,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39
GH103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH104,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1
GH109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH127,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
GH13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH15,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
GH153,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
GH154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GH177,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH179,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH19,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
GH2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH23,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH24,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
GH25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
GH3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH31,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH32,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
GH33,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
GH37,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH38,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1
GH4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH58,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GH63,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
GH65,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
GH73,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GH8,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
GT1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GT107,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
GT111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GT112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GT19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
GT2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT25,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
GT26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT30,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
GT35,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT38,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GT4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GT5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT51,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
GT8,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
GT83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GT9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PL22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
