KO,Definition,Gene IDs,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39
K19236,L;D-transpeptidase YcfS,gnl|Prokka|AKEAHCKB_01610;gnl|Prokka|APDOGEMG_02288;gnl|Prokka|BNGDJCLN_00542;gnl|Prokka|COAKLHLB_03067;gnl|Prokka|HCDLLMMA_03572;gnl|Prokka|HIPMDEKK_02646;gnl|Prokka|IAHBEFHN_03157;gnl|Prokka|ICHPHMKM_02093;gnl|Prokka|JCIDEFIG_02092;gnl|Prokka|JDDPIIHO_01418;gnl|Prokka|KAGGKOGE_02536;gnl|Prokka|KIDIHNBK_01764;gnl|Prokka|LGNBBEFE_01083;gnl|Prokka|LKCJGGKA_01917;gnl|Prokka|MKNIKEAA_02742;gnl|Prokka|NGKABENH_00046;gnl|Prokka|NKEMDPIE_03457;gnl|Prokka|PJBPACPC_01124;gnl|Prokka|PLJPCPFJ_01602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K13480,xanthine dehydrogenase iron-sulfur-binding subunit,gnl|Prokka|AKEAHCKB_02971;gnl|Prokka|APDOGEMG_01634;gnl|Prokka|BNGDJCLN_00734;gnl|Prokka|COAKLHLB_02355;gnl|Prokka|HCDLLMMA_01832;gnl|Prokka|HIPMDEKK_02775;gnl|Prokka|ICHPHMKM_00091;gnl|Prokka|JDDPIIHO_01182;gnl|Prokka|KAGGKOGE_00322;gnl|Prokka|KIDIHNBK_01602;gnl|Prokka|LGNBBEFE_03907;gnl|Prokka|LKCJGGKA_04220;gnl|Prokka|MKNIKEAA_03975;gnl|Prokka|NGKABENH_04288;gnl|Prokka|NKEMDPIE_01826;gnl|Prokka|PJBPACPC_02707;gnl|Prokka|PLJPCPFJ_04123,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
K02496,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],gnl|Prokka|AKEAHCKB_01101;gnl|Prokka|APDOGEMG_02040;gnl|Prokka|BNGDJCLN_03246;gnl|Prokka|HCDLLMMA_03221;gnl|Prokka|HIPMDEKK_01307;gnl|Prokka|IAHBEFHN_01637;gnl|Prokka|JCIDEFIG_00428;gnl|Prokka|JDDPIIHO_01190;gnl|Prokka|KIDIHNBK_02651;gnl|Prokka|LGNBBEFE_03791;gnl|Prokka|MKNIKEAA_03822;gnl|Prokka|NGKABENH_03412;gnl|Prokka|PJBPACPC_00045;gnl|Prokka|PLJPCPFJ_02191,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1
K07796,outer membrane protein; copper/silver efflux system,gnl|Prokka|AKEAHCKB_00679;gnl|Prokka|APDOGEMG_02768;gnl|Prokka|BNGDJCLN_02885;gnl|Prokka|COAKLHLB_01621;gnl|Prokka|HCDLLMMA_02546;gnl|Prokka|HIPMDEKK_03106;gnl|Prokka|IAHBEFHN_00701;gnl|Prokka|ICHPHMKM_03112;gnl|Prokka|JCIDEFIG_01495;gnl|Prokka|JDDPIIHO_02940;gnl|Prokka|KAGGKOGE_02618;gnl|Prokka|KIDIHNBK_02888;gnl|Prokka|LGNBBEFE_03865;gnl|Prokka|LKCJGGKA_02148;gnl|Prokka|MKNIKEAA_01072;gnl|Prokka|NGKABENH_01837;gnl|Prokka|NKEMDPIE_00969;gnl|Prokka|PJBPACPC_00124;gnl|Prokka|PLJPCPFJ_00545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03672,thioredoxin 2 [EC:1.8.1.8],gnl|Prokka|AKEAHCKB_03833;gnl|Prokka|APDOGEMG_01832;gnl|Prokka|BNGDJCLN_00095;gnl|Prokka|COAKLHLB_02561;gnl|Prokka|COAKLHLB_02684;gnl|Prokka|HCDLLMMA_00120;gnl|Prokka|HIPMDEKK_00542;gnl|Prokka|IAHBEFHN_03332;gnl|Prokka|ICHPHMKM_00615;gnl|Prokka|JCIDEFIG_00239;gnl|Prokka|JDDPIIHO_02051;gnl|Prokka|KAGGKOGE_01193;gnl|Prokka|KIDIHNBK_02396;gnl|Prokka|LGNBBEFE_00007;gnl|Prokka|LKCJGGKA_01882;gnl|Prokka|MKNIKEAA_01389;gnl|Prokka|NGKABENH_02771;gnl|Prokka|NKEMDPIE_00127;gnl|Prokka|PJBPACPC_02270;gnl|Prokka|PLJPCPFJ_01517,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
K03286,OmpA-OmpF porin; OOP family,gnl|Prokka|AKEAHCKB_00550;gnl|Prokka|AKEAHCKB_00636;gnl|Prokka|APDOGEMG_00482;gnl|Prokka|APDOGEMG_03053;gnl|Prokka|BNGDJCLN_02426;gnl|Prokka|BNGDJCLN_04401;gnl|Prokka|COAKLHLB_00584;gnl|Prokka|COAKLHLB_02395;gnl|Prokka|HCDLLMMA_01723;gnl|Prokka|HCDLLMMA_02290;gnl|Prokka|HIPMDEKK_00873;gnl|Prokka|HIPMDEKK_02324;gnl|Prokka|IAHBEFHN_02987;gnl|Prokka|IAHBEFHN_03408;gnl|Prokka|ICHPHMKM_00767;gnl|Prokka|ICHPHMKM_02008;gnl|Prokka|JCIDEFIG_01023;gnl|Prokka|JCIDEFIG_01482;gnl|Prokka|JDDPIIHO_01934;gnl|Prokka|JDDPIIHO_04049;gnl|Prokka|KAGGKOGE_00880;gnl|Prokka|KAGGKOGE_03410;gnl|Prokka|KIDIHNBK_01903;gnl|Prokka|KIDIHNBK_02574;gnl|Prokka|LGNBBEFE_00851;gnl|Prokka|LGNBBEFE_01986;gnl|Prokka|LKCJGGKA_00893;gnl|Prokka|LKCJGGKA_03949;gnl|Prokka|MKNIKEAA_03262;gnl|Prokka|NGKABENH_01414;gnl|Prokka|NGKABENH_02670;gnl|Prokka|NKEMDPIE_02096;gnl|Prokka|NKEMDPIE_03637;gnl|Prokka|PJBPACPC_00985;gnl|Prokka|PJBPACPC_03027;gnl|Prokka|PLJPCPFJ_01321;gnl|Prokka|PLJPCPFJ_01776,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
K01652,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],gnl|Prokka|AKEAHCKB_00059;gnl|Prokka|AKEAHCKB_00818;gnl|Prokka|AKEAHCKB_01066;gnl|Prokka|APDOGEMG_01533;gnl|Prokka|APDOGEMG_02075;gnl|Prokka|APDOGEMG_03565;gnl|Prokka|BNGDJCLN_00392;gnl|Prokka|BNGDJCLN_02645;gnl|Prokka|BNGDJCLN_03281;gnl|Prokka|COAKLHLB_03230;gnl|Prokka|COAKLHLB_03320;gnl|Prokka|COAKLHLB_04019;gnl|Prokka|HCDLLMMA_03255;gnl|Prokka|HCDLLMMA_03343;gnl|Prokka|HCDLLMMA_04194;gnl|Prokka|HIPMDEKK_00078;gnl|Prokka|HIPMDEKK_00370;gnl|Prokka|HIPMDEKK_03212;gnl|Prokka|IAHBEFHN_00875;gnl|Prokka|IAHBEFHN_01922;gnl|Prokka|IAHBEFHN_02813;gnl|Prokka|ICHPHMKM_00223;gnl|Prokka|ICHPHMKM_02921;gnl|Prokka|ICHPHMKM_03452;gnl|Prokka|JCIDEFIG_00323;gnl|Prokka|JCIDEFIG_01832;gnl|Prokka|JDDPIIHO_00575;gnl|Prokka|JDDPIIHO_01426;gnl|Prokka|JDDPIIHO_03050;gnl|Prokka|KAGGKOGE_00103;gnl|Prokka|KAGGKOGE_00606;gnl|Prokka|KAGGKOGE_03234;gnl|Prokka|KIDIHNBK_00490;gnl|Prokka|KIDIHNBK_00705;gnl|Prokka|KIDIHNBK_02617;gnl|Prokka|LGNBBEFE_02498;gnl|Prokka|LGNBBEFE_03260;gnl|Prokka|LGNBBEFE_03469;gnl|Prokka|LKCJGGKA_00246;gnl|Prokka|LKCJGGKA_02132;gnl|Prokka|LKCJGGKA_04255;gnl|Prokka|MKNIKEAA_00584;gnl|Prokka|MKNIKEAA_02846;gnl|Prokka|MKNIKEAA_03855;gnl|Prokka|NGKABENH_02083;gnl|Prokka|NGKABENH_02545;gnl|Prokka|NGKABENH_03445;gnl|Prokka|NKEMDPIE_00477;gnl|Prokka|NKEMDPIE_02437;gnl|Prokka|NKEMDPIE_03784;gnl|Prokka|PJBPACPC_00006;gnl|Prokka|PJBPACPC_03150;gnl|Prokka|PJBPACPC_04018;gnl|Prokka|PLJPCPFJ_00751;gnl|Prokka|PLJPCPFJ_01968;gnl|Prokka|PLJPCPFJ_02156,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
K02408,flagellar hook-basal body complex protein FliE,gnl|Prokka|AKEAHCKB_02036;gnl|Prokka|APDOGEMG_01252;gnl|Prokka|BNGDJCLN_03176;gnl|Prokka|BNGDJCLN_03917;gnl|Prokka|COAKLHLB_00592;gnl|Prokka|COAKLHLB_02911;gnl|Prokka|HCDLLMMA_02617;gnl|Prokka|IAHBEFHN_03720;gnl|Prokka|ICHPHMKM_02635;gnl|Prokka|JCIDEFIG_02250;gnl|Prokka|JDDPIIHO_03281;gnl|Prokka|KAGGKOGE_03984;gnl|Prokka|KIDIHNBK_01259;gnl|Prokka|KIDIHNBK_02131;gnl|Prokka|LGNBBEFE_02219;gnl|Prokka|LKCJGGKA_02349;gnl|Prokka|LKCJGGKA_03371;gnl|Prokka|MKNIKEAA_02169;gnl|Prokka|NGKABENH_03304;gnl|Prokka|NKEMDPIE_01952;gnl|Prokka|PJBPACPC_00417;gnl|Prokka|PJBPACPC_00482;gnl|Prokka|PLJPCPFJ_02070,2,1,1,2,1,1,2,1,1,1,2,1,1,0,1,1,2,1,1
K03820,apolipoprotein N-acyltransferase [EC:2.3.1.269],gnl|Prokka|AKEAHCKB_02396;gnl|Prokka|APDOGEMG_02855;gnl|Prokka|BNGDJCLN_02799;gnl|Prokka|COAKLHLB_02455;gnl|Prokka|HCDLLMMA_01361;gnl|Prokka|HIPMDEKK_03295;gnl|Prokka|IAHBEFHN_02764;gnl|Prokka|JCIDEFIG_01443;gnl|Prokka|JDDPIIHO_03596;gnl|Prokka|KAGGKOGE_02697;gnl|Prokka|KIDIHNBK_02982;gnl|Prokka|LGNBBEFE_03623;gnl|Prokka|LKCJGGKA_03744;gnl|Prokka|MKNIKEAA_00992;gnl|Prokka|NGKABENH_01758;gnl|Prokka|NKEMDPIE_02939;gnl|Prokka|PJBPACPC_01241;gnl|Prokka|PLJPCPFJ_00459,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
K02837,peptide chain release factor 3,gnl|Prokka|AKEAHCKB_02427;gnl|Prokka|APDOGEMG_01438;gnl|Prokka|BNGDJCLN_01475;gnl|Prokka|COAKLHLB_00359;gnl|Prokka|HIPMDEKK_02407;gnl|Prokka|IAHBEFHN_02348;gnl|Prokka|ICHPHMKM_01797;gnl|Prokka|JCIDEFIG_03079;gnl|Prokka|JDDPIIHO_01170;gnl|Prokka|KAGGKOGE_00708;gnl|Prokka|KIDIHNBK_00382;gnl|Prokka|LGNBBEFE_02297;gnl|Prokka|LKCJGGKA_00381;gnl|Prokka|LKCJGGKA_01475;gnl|Prokka|MKNIKEAA_02949;gnl|Prokka|NGKABENH_01977;gnl|Prokka|NKEMDPIE_03308;gnl|Prokka|PJBPACPC_03912;gnl|Prokka|PLJPCPFJ_00646,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1
K02302,uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4],gnl|Prokka|AKEAHCKB_03441;gnl|Prokka|APDOGEMG_00121;gnl|Prokka|BNGDJCLN_02079;gnl|Prokka|COAKLHLB_03091;gnl|Prokka|HCDLLMMA_00047;gnl|Prokka|HIPMDEKK_02700;gnl|Prokka|IAHBEFHN_00388;gnl|Prokka|ICHPHMKM_00336;gnl|Prokka|JCIDEFIG_00136;gnl|Prokka|JDDPIIHO_01845;gnl|Prokka|KAGGKOGE_03527;gnl|Prokka|KIDIHNBK_03937;gnl|Prokka|LGNBBEFE_02033;gnl|Prokka|LKCJGGKA_00501;gnl|Prokka|MKNIKEAA_00152;gnl|Prokka|NGKABENH_03672;gnl|Prokka|NKEMDPIE_01066;gnl|Prokka|PJBPACPC_04204;gnl|Prokka|PLJPCPFJ_02565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K03305,proton-dependent oligopeptide transporter; POT family,gnl|Prokka|AKEAHCKB_00173;gnl|Prokka|AKEAHCKB_02238;gnl|Prokka|AKEAHCKB_02770;gnl|Prokka|AKEAHCKB_03088;gnl|Prokka|APDOGEMG_01780;gnl|Prokka|APDOGEMG_03488;gnl|Prokka|APDOGEMG_03888;gnl|Prokka|APDOGEMG_04175;gnl|Prokka|BNGDJCLN_01218;gnl|Prokka|BNGDJCLN_01956;gnl|Prokka|BNGDJCLN_02150;gnl|Prokka|BNGDJCLN_04218;gnl|Prokka|COAKLHLB_01256;gnl|Prokka|COAKLHLB_02948;gnl|Prokka|COAKLHLB_03484;gnl|Prokka|HCDLLMMA_01402;gnl|Prokka|HCDLLMMA_03057;gnl|Prokka|HCDLLMMA_03987;gnl|Prokka|HCDLLMMA_04043;gnl|Prokka|HIPMDEKK_00349;gnl|Prokka|HIPMDEKK_01804;gnl|Prokka|HIPMDEKK_02865;gnl|Prokka|HIPMDEKK_03716;gnl|Prokka|IAHBEFHN_00710;gnl|Prokka|IAHBEFHN_00721;gnl|Prokka|IAHBEFHN_00753;gnl|Prokka|IAHBEFHN_03556;gnl|Prokka|ICHPHMKM_01102;gnl|Prokka|ICHPHMKM_01427;gnl|Prokka|ICHPHMKM_01765;gnl|Prokka|JCIDEFIG_00294;gnl|Prokka|JCIDEFIG_01622;gnl|Prokka|JCIDEFIG_02550;gnl|Prokka|JCIDEFIG_04145;gnl|Prokka|JDDPIIHO_00064;gnl|Prokka|JDDPIIHO_02669;gnl|Prokka|JDDPIIHO_03279;gnl|Prokka|JDDPIIHO_03767;gnl|Prokka|KAGGKOGE_02039;gnl|Prokka|KAGGKOGE_02742;gnl|Prokka|KAGGKOGE_03696;gnl|Prokka|KAGGKOGE_04136;gnl|Prokka|KIDIHNBK_01019;gnl|Prokka|KIDIHNBK_03028;gnl|Prokka|KIDIHNBK_03782;gnl|Prokka|KIDIHNBK_03814;gnl|Prokka|LGNBBEFE_00344;gnl|Prokka|LGNBBEFE_00623;gnl|Prokka|LGNBBEFE_01662;gnl|Prokka|LGNBBEFE_03118;gnl|Prokka|LKCJGGKA_00649;gnl|Prokka|LKCJGGKA_01295;gnl|Prokka|LKCJGGKA_03210;gnl|Prokka|LKCJGGKA_03336;gnl|Prokka|MKNIKEAA_00029;gnl|Prokka|MKNIKEAA_00954;gnl|Prokka|MKNIKEAA_01703;gnl|Prokka|MKNIKEAA_02460;gnl|Prokka|NGKABENH_00384;gnl|Prokka|NGKABENH_01712;gnl|Prokka|NGKABENH_02966;gnl|Prokka|NGKABENH_03535;gnl|Prokka|NKEMDPIE_02032;gnl|Prokka|NKEMDPIE_02265;gnl|Prokka|NKEMDPIE_02857;gnl|Prokka|NKEMDPIE_02984;gnl|Prokka|PJBPACPC_00776;gnl|Prokka|PJBPACPC_01287;gnl|Prokka|PJBPACPC_03368;gnl|Prokka|PJBPACPC_04079;gnl|Prokka|PLJPCPFJ_00145;gnl|Prokka|PLJPCPFJ_02465;gnl|Prokka|PLJPCPFJ_02712;gnl|Prokka|PLJPCPFJ_02843,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4
