Gene,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39,gene_name,VFG_ID,gene_description,VF_ID,VFC_ID,organism
gnl|Prokka|AKEAHCKB_02266,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,gnl|Prokka|AKEAHCKB_02266,VFG037682(gb|WP_000866236), poly-beta-1 6 N-acetyl-D-glucosamine synthase ,PNAG (VF0472),Biofilm (VFC0271),[Acinetobacter baumannii BJAB0715]
gnl|Prokka|AKEAHCKB_02353,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_02353,VFG000891(gb|WP_000006208), regulatory protein PapI ,P fimbriae (VF0220),Adherence (VFC0001),[Escherichia coli CFT073]
gnl|Prokka|AKEAHCKB_02354,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_02354,VFG033144(gb|WP_000597753), P pilus major subunit PapA ,P fimbriae (VF0220),Adherence (VFC0001),[Escherichia coli O17:K52:H18 str. UMN026]
gnl|Prokka|AKEAHCKB_02356,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_02356,VFG012241(gb|WP_000654940), usher protein PapC ,P fimbriae (VF0220),Adherence (VFC0001),[Escherichia coli 536]
gnl|Prokka|AKEAHCKB_02360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_02360,VFG033101(gb|WP_001304639), P pilus minor subunit PapE ,P fimbriae (VF0220),Adherence (VFC0001),[Escherichia coli ABU 83972]
gnl|Prokka|AKEAHCKB_02467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,gnl|Prokka|AKEAHCKB_02467,VFG043573(gb|NP_219906), chaperone protein DnaK ,Adherence; porin (VF0713),Adherence (VFC0001),[Chlamydia trachomatis D/UW-3/CX]
gnl|Prokka|AKEAHCKB_02679,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_02679,VFG021584(gb|WP_001250321), fimbrial protein ,Stf (VF0958),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Newport str. SL254]
gnl|Prokka|AKEAHCKB_02681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_02681,VFG004334(gb|NP_459205), fimbrial protein ,Stf (VF0958),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
gnl|Prokka|AKEAHCKB_02792,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,gnl|Prokka|AKEAHCKB_02792,VFG000927(gb|WP_000096764), LPS O-antigen length regulator ,Enterobactin (VF0228),Nutritional/Metabolic factor (VFC0272),[Escherichia coli CFT073]
gnl|Prokka|AKEAHCKB_03117,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,gnl|Prokka|AKEAHCKB_03117,VFG043115(gb|WP_001282098), flagellar motor switch protein FliN ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|AKEAHCKB_03152,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03152,VFG048831(gb|WP_020947293), polysaccharide biosynthesis tyrosine autokinase ,Capsule (VF0560),Immune modulation (VFC0258),[Klebsiella pneumoniae subsp. rhinoscleromatis SB3432]
gnl|Prokka|AKEAHCKB_03153,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03153,VFG048820(gb|WP_004144167), protein-tyrosine-phosphatase ,Capsule (VF0560),Immune modulation (VFC0258),[Klebsiella pneumoniae subsp. rhinoscleromatis SB3432]
gnl|Prokka|AKEAHCKB_03656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03656,VFG004049(gb|WP_000701509), antimicrobial peptide resistance protein Mig-14 ,Mig-14 (VF0395),Antimicrobial activity/Competitive advantage (VFC0325),[Salmonella enterica subsp. enterica serovar Typhi str. CT18]
gnl|Prokka|AKEAHCKB_03658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03658,VFG012928(gb|WP_005005342), outer membrane protease of the OmpP family  involved in cleavage of surface exposed IcsA ,IcsP (SopA) (VF0122),Exoenzyme (VFC0251),[Shigella boydii Sb227]
gnl|Prokka|AKEAHCKB_03701,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,gnl|Prokka|AKEAHCKB_03701,VFG038902(gb|WP_011898555), Hemolysin A ,Hemolysin HlyA (VF0646),Exotoxin (VFC0235),[Aeromonas salmonicida subsp. salmonicida A449]
gnl|Prokka|AKEAHCKB_03753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,gnl|Prokka|AKEAHCKB_03753,VFG042772(gb|BAB62896), CofT ,Adhesive fimbriae (VF0213),Adherence (VFC0001),[Escherichia coli str. 260-1]
gnl|Prokka|AKEAHCKB_03758,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03758,VFG049917(gb|WP_000508696), Type VI secretion system protein  PAAR family ,T6SS (VF0579),Effector delivery system (VFC0086),[Shigella sonnei Ss046]
gnl|Prokka|AKEAHCKB_03765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03765,VFG042892(gb|WP_000744276), shufflon system plasmid conjugative transfer pilus tip adhesin PilV ,Type IV pili (VF0966),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhi str. CT18]
gnl|Prokka|AKEAHCKB_03767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03767,VFG042890(gb|WP_000334696), lytic transglycosylase domain-containing protein ,Type IV pili (VF0966),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhi str. CT18]
gnl|Prokka|AKEAHCKB_03768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03768,VFG017847(gb|WP_012105806), putative type IV pilus prepilin ,Type IV pili (VF0401),Adherence (VFC0001),[Yersinia pseudotuberculosis IP 31758]
gnl|Prokka|AKEAHCKB_03769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03769,VFG002314(gb|WP_172667453), type IV pilus biosynthesis protein PilR ,Type IV pili (VF0401),Adherence (VFC0001),[Yersinia enterocolitica subsp. enterocolitica 8081]
gnl|Prokka|AKEAHCKB_03770,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03770,VFG042887(gb|WP_001289222), Flp pilus assembly complex ATPase component TadA ,Type IV pili (VF0966),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhi str. CT18]
gnl|Prokka|AKEAHCKB_03792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03792,VFG012526(gb|WP_000602863), aerobactin siderophore biosynthesis protein IucD ,Aerobactin (VF0229),Nutritional/Metabolic factor (VFC0272),[Escherichia coli APEC O1]
gnl|Prokka|AKEAHCKB_03793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03793,VFG033993(gb|WP_000011910), aerobactin siderophore biosynthesis protein IucB ,Aerobactin (VF0229),Nutritional/Metabolic factor (VFC0272),[Escherichia coli O83:H1 str. NRG 857C]
gnl|Prokka|AKEAHCKB_03794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03794,VFG012522(gb|WP_001015721), aerobactin siderophore biosynthesis protein IucC ,Aerobactin (VF0229),Nutritional/Metabolic factor (VFC0272),[Escherichia coli APEC O1]
gnl|Prokka|AKEAHCKB_03795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03795,VFG033958(gb|WP_000750130), L-lysine 6-monooxygenase IucD ,Aerobactin (VF0229),Nutritional/Metabolic factor (VFC0272),[Escherichia coli O7:K1 str. IAI39]
gnl|Prokka|AKEAHCKB_03796,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|AKEAHCKB_03796,VFG033944(gb|WP_000973519), ferric aerobactin receptor precusor IutA ,Aerobactin (VF0229),Nutritional/Metabolic factor (VFC0272),[Escherichia coli O7:K1 str. IAI39]
gnl|Prokka|AKEAHCKB_03862,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_03862,VFG004271(gb|WP_000698775), fimbrial biogenesis chaperone StcB ,Stc (VF0955),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhi str. CT18]
gnl|Prokka|AKEAHCKB_03929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,gnl|Prokka|AKEAHCKB_03929,VFG049118(gb|WP_012737529), DNA-binding transcriptional repressor AllR ,Allantion utilization (VF0572),Nutritional/Metabolic factor (VFC0272),[Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
gnl|Prokka|AKEAHCKB_03930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,gnl|Prokka|AKEAHCKB_03930,VFG049116(gb|WP_012737528), ureidoglycolate hydrolase ,Allantion utilization (VF0572),Nutritional/Metabolic factor (VFC0272),[Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
gnl|Prokka|AKEAHCKB_04121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_04121,VFG043088(gb|WP_000983602), protein phosphatase CheZ ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|AKEAHCKB_04124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_04124,VFG043091(gb|WP_000204340), protein-glutamate O-methyltransferase CheR ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|AKEAHCKB_04187,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_04187,VFG043083(gb|WP_000096470), flagellar hook-associated protein FlgK ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|AKEAHCKB_04188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_04188,VFG043082(gb|WP_001301817), flagellar assembly peptidoglycan hydrolase FlgJ ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|AKEAHCKB_04189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|AKEAHCKB_04189,VFG043081(gb|WP_000589319), flagellar basal body P-ring protein FlgI ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|AKEAHCKB_04271,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,gnl|Prokka|AKEAHCKB_04271,VFG043568(gb|NP_460531), phosphoporin PhoE ,OmpD (VF0969),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
gnl|Prokka|AKEAHCKB_04341,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,gnl|Prokka|AKEAHCKB_04341,VFG050164(gb|WP_000723250), UDP-N-acetylglucosamine 2-epimerase ,K1 capsule (VF0239),Invasion (VFC0083),[Escherichia coli O45:K1:H7 str. S88]
gnl|Prokka|AKEAHCKB_04348,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,gnl|Prokka|AKEAHCKB_04348,VFG040947(gb|WP_000094974), type II secretion system protein GspL ,Gsp (VF1177),Effector delivery system (VFC0086),[Escherichia coli E24377A]
gnl|Prokka|AKEAHCKB_04349,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,gnl|Prokka|AKEAHCKB_04349,VFG012910(gb|WP_000633205), general secretion pathway protein K ,T2SS (VF0333),Effector delivery system (VFC0086),[Shigella boydii Sb227]
gnl|Prokka|AKEAHCKB_04350,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,gnl|Prokka|AKEAHCKB_04350,VFG040949(gb|WP_001255040), type II secretion system minor pseudopilin GspJ ,Gsp (VF1177),Effector delivery system (VFC0086),[Escherichia coli E24377A]
gnl|Prokka|APDOGEMG_00076,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,gnl|Prokka|APDOGEMG_00076,VFG035495(gb|WP_122987046), type VI secretion system membrane subunit TssM ,ACE T6SS (VF1122),Effector delivery system (VFC0086),[Escherichia coli O104:H4 str. 2009EL-2050]
gnl|Prokka|APDOGEMG_00079,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,gnl|Prokka|APDOGEMG_00079,VFG035571(gb|WP_000614396), type VI secretion system ATPase TssH ,ACE T6SS (VF1122),Effector delivery system (VFC0086),[Escherichia coli O104:H4 str. 2009EL-2050]
gnl|Prokka|APDOGEMG_00081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,gnl|Prokka|APDOGEMG_00081,VFG035629(gb|WP_000246443), type VI secretion system baseplate subunit TssK ,ACE T6SS (VF1122),Effector delivery system (VFC0086),[Escherichia coli UMNK88]
gnl|Prokka|APDOGEMG_00086,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,gnl|Prokka|APDOGEMG_00086,VFG035740(gb|WP_000611742), type VI secretion system baseplate subunit TssE ,ACE T6SS (VF1122),Effector delivery system (VFC0086),[Escherichia coli O55:H7 str. CB9615]
gnl|Prokka|APDOGEMG_00087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,gnl|Prokka|APDOGEMG_00087,VFG035769(gb|WP_000056978), type VI secretion system contractile sheath large subunit ,ACE T6SS (VF1122),Effector delivery system (VFC0086),[Escherichia coli O111:H- str. 11128]
gnl|Prokka|APDOGEMG_00088,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,gnl|Prokka|APDOGEMG_00088,VFG041049(gb|WP_000123970), hypothetical protein ,EHS (VF1176),Effector delivery system (VFC0086),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|APDOGEMG_00090,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,gnl|Prokka|APDOGEMG_00090,VFG035808(gb|WP_001142958), Hcp family type VI secretion system effector ,EHS (VF1176),Effector delivery system (VFC0086),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|APDOGEMG_00801,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,gnl|Prokka|APDOGEMG_00801,VFG040950(gb|WP_000820125), type II secretion system minor pseudopilin GspI ,Gsp (VF1177),Effector delivery system (VFC0086),[Escherichia coli E24377A]
gnl|Prokka|APDOGEMG_01262,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,gnl|Prokka|APDOGEMG_01262,VFG043116(gb|WP_001302429), flagellar type III secretion system protein FliO ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|APDOGEMG_01263,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,gnl|Prokka|APDOGEMG_01263,VFG043117(gb|WP_001253441), flagellar type III secretion system pore protein FliP ,Peritrichous flagella (VF1154),Motility (VFC0204),[Escherichia coli O157:H7 str. EDL933]
gnl|Prokka|APDOGEMG_01278,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,gnl|Prokka|APDOGEMG_01278,VFG043568(gb|NP_460531), phosphoporin PhoE ,OmpD (VF0969),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
gnl|Prokka|APDOGEMG_01370,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,gnl|Prokka|APDOGEMG_01370,VFG012263(gb|NP_418732), Type 1 fimbriae Regulatory protein fimB ,Type 1 fimbriae (VF0221),Adherence (VFC0001),[Escherichia coli str. K-12 substr. MG1655]
gnl|Prokka|APDOGEMG_01371,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,gnl|Prokka|APDOGEMG_01371,VFG000872(gb|WP_000044711), Type 1 fimbriae Regulatory protein fimE ,Type 1 fimbriae (VF0221),Adherence (VFC0001),[Escherichia coli CFT073]
gnl|Prokka|APDOGEMG_01697,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,gnl|Prokka|APDOGEMG_01697,VFG042084(gb|NP_311752), T3SS structure protein EscR ,ETT2 (VF1161),Effector delivery system (VFC0086),[Escherichia coli O157:H7 str. Sakai]
gnl|Prokka|APDOGEMG_01756,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,gnl|Prokka|APDOGEMG_01756,VFG035096(gb|WP_001378340), type VI secretion system contractile sheath small subunit ,SCI-I T6SS (VF1120),Effector delivery system (VFC0086),[Escherichia coli E24377A]
gnl|Prokka|APDOGEMG_01882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|APDOGEMG_01882,VFG013617(gb|WP_200858241), ferrochelatase ,Heme biosynthesis (VF0758),Nutritional/Metabolic factor (VFC0272),[Haemophilus somnus 129PT]
gnl|Prokka|APDOGEMG_02081,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,gnl|Prokka|APDOGEMG_02081,VFG048959(gb|WP_020956638), NADP-dependent phosphogluconate dehydrogenase ,Capsule (VF0560),Immune modulation (VFC0258),[Klebsiella pneumoniae JM45]
gnl|Prokka|APDOGEMG_02087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_02087,VFG037998(gb|WP_000612008), DegT/DnrJ/EryC1/StrS family aminotransferase ,Capsule (VF0465),Immune modulation (VFC0258),[Acinetobacter baumannii TYTH-1]
gnl|Prokka|APDOGEMG_02112,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,gnl|Prokka|APDOGEMG_02112,VFG048971(gb|WP_015958711), polysaccharide biosynthesis tyrosine autokinase ,Capsule (VF0560),Immune modulation (VFC0258),[Klebsiella pneumoniae subsp. pneumoniae MGH 78578]
gnl|Prokka|APDOGEMG_02113,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,gnl|Prokka|APDOGEMG_02113,VFG048962(gb|WP_015875029), protein-tyrosine-phosphatase ,Capsule (VF0560),Immune modulation (VFC0258),[Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]
gnl|Prokka|APDOGEMG_02114,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,gnl|Prokka|APDOGEMG_02114,VFG048832(gb|WP_012967585), polysaccharide export protein ,Capsule (VF0560),Immune modulation (VFC0258),[Klebsiella variicola At-22]
gnl|Prokka|APDOGEMG_02455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_02455,VFG012936(gb|WP_000915848), bactoprenol-linked glucose translocase/flippase ,LPS (VF0124),Immune modulation (VFC0258),[Shigella flexneri 5 str. 8401]
gnl|Prokka|APDOGEMG_02456,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_02456,VFG012939(gb|WP_000703656), bactoprenol glucosyl transferase ,LPS (VF0124),Immune modulation (VFC0258),[Shigella flexneri 5 str. 8401]
gnl|Prokka|APDOGEMG_02501,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,gnl|Prokka|APDOGEMG_02501,VFG034605(gb|WP_000225866), colonisation factor antigen a  chaperone ,Adhesive fimbriae (VF0213),Adherence (VFC0001),[Escherichia coli O111:H- str. 11128]
gnl|Prokka|APDOGEMG_02504,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_02504,VFG034648(gb|WP_001245988), minor pilin and initiator ,Adhesive fimbriae (VF0213),Adherence (VFC0001),[Escherichia coli E24377A]
gnl|Prokka|APDOGEMG_02947,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,gnl|Prokka|APDOGEMG_02947,VFG034822(gb|WP_000627131), Type III secretion system effector espR1 ,TTSS secreted effectors (VF1110),Effector delivery system (VFC0086),[Escherichia coli O103:H2 str. 12009]
gnl|Prokka|APDOGEMG_02961,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,gnl|Prokka|APDOGEMG_02961,VFG049898(gb|WP_001284199), type VI secretion system protein  Hcp family ,T6SS (VF0579),Effector delivery system (VFC0086),[Shigella sonnei Ss046]
gnl|Prokka|APDOGEMG_02995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gnl|Prokka|APDOGEMG_02995,VFG000477(gb|NP_461845), RNA polymerase sigma factor RpoS ,RpoS (VF0112),Regulation (VFC0301),[Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
gnl|Prokka|APDOGEMG_03043,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_03043,VFG000452(gb|NP_462537), long polar fimbrial minor subunit LpfE  adhesin ,Lpf (VF0105),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
gnl|Prokka|APDOGEMG_03045,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_03045,VFG021350(gb|WP_000220316), long polar fimbrial usher protein LpfC ,Lpf (VF0105),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Agona str. SL483]
gnl|Prokka|APDOGEMG_03046,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gnl|Prokka|APDOGEMG_03046,VFG000455(gb|NP_462540), long polar fimbrial chaperone protein LpfB ,Lpf (VF0105),Adherence (VFC0001),[Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
